#Parameters = {C_1=25.412767459909; C_2=94.841739321315; Conductivity=10000000; Conductivity_Mo=17900000; Conductivity_MoGr=1000000; Ip=98.18739362802; Pipe_lenght=40; Pipe_r=30; beta=1; cells_wave=20; conductivity_copper=59500000; d=-394.84173932132; half_gap_x=4.5872325400905; half_gap_y=30; half_gap_z=150; mu_copper=0.999994; offset=1.8348930160362; offset_x=1; offset_y=5; sigma_z=5; teta=15; thcoll=25.412767459909; translate_z=-244.84173932132; wakelength=20000}
#"s / mm"	"X [Real Part / V/pC]"
#-------------------------------
100.46068104479	-0.018559644230785
100.68799102292	-0.017453353670891
100.91530100104	-0.016342066812525
101.14261097916	-0.015225531039038
101.36992095728	-0.014103661179610
101.59723093540	-0.012976442853275
101.82454091352	-0.011843767062401
102.05185089165	-0.010705411523272
102.27916086977	-0.0095611912314821
102.50647084789	-0.0084110812423145
102.73378082601	-0.0072551512762816
102.96109080413	-0.0060933903714237
103.18840078225	-0.0049256321287134
103.41571076038	-0.0037516597992292
103.64302073850	-0.0025713526084218
103.87033071662	-0.0013847105650244
104.09764069474	-0.00019176840415531
104.32495067286	0.0010074647889145
104.55226065098	0.0022129785357085
104.77957062911	0.0034247309354980
105.00688060723	0.0046426976886935
105.23419058535	0.0058669423968714
105.46150056347	0.0070975873121901
105.68881054159	0.0083346844112613
105.91612051971	0.0095781314115803
106.14343049784	0.010827737420670
106.37074047596	0.012083358443976
106.59805045408	0.013344938456331
106.82536043220	0.014612424487135
107.05267041032	0.015885691924421
107.27998038844	0.017164591809978
107.50729036657	0.018449047589584
107.73460034469	0.019739041700929
107.96191032281	0.021034473396365
108.18922030093	0.022335053072078
108.41653027905	0.023640374402914
108.64384025717	0.024950092571412
108.87115023529	0.026264007146095
109.09846021342	0.027581969046254
109.32577019154	0.028903743990396
109.55308016966	0.030228994688195
109.78039014778	0.031557367436175
110.00770012590	0.032888532058713
110.23501010402	0.034222109867867
110.46232008215	0.035557602793124
110.68963006027	0.036894447986528
110.91694003839	0.038232147471399
111.14425001651	0.039570302269534
111.37155999463	0.040908492926249
111.59886997275	0.042246150434857
111.82617995088	0.043582580297026
112.05348992900	0.044917106861019
112.28079990712	0.046249149451670
112.50810988524	0.047578134158454
112.73541986336	0.048903362934042
112.96272984148	0.050224015679533
113.19003981961	0.051539280905064
113.41734979773	0.052848437522828
113.64465977585	0.054150777634962
113.87196975397	0.055445474428596
114.09927973209	0.056731573532175
114.32658971021	0.058008122166668
114.55389968834	0.059274269341215
114.78120966646	0.060529213165106
115.00851964458	0.061772071715621
115.23582962270	0.063001844968225
115.46313960082	0.064217502711814
115.69044957894	0.065418064563533
115.91775955707	0.066602567825334
116.14506953519	0.067769992455763
116.37237951331	0.068919281145955
116.59968949143	0.070049453102847
116.82699946955	0.071159653358841
117.05430944767	0.072249039402472
117.28161942579	0.073316618549279
117.50892940392	0.074361235806139
117.73623938204	0.075381745830258
117.96354936016	0.076377182657040
118.19085933828	0.077346747527007
118.41816931640	0.078289654937956
118.64547929452	0.079205032415576
118.87278927265	0.080091975666168
119.10009925077	0.080949654524894
119.32740922889	0.081777320605519
119.55471920701	0.082574223762535
119.78202918513	0.083339578593996
120.00933916325	0.084072650476788
120.23664914138	0.084772855804576
120.46395911950	0.085439740276029
120.69126909762	0.086072855778201
120.91857907574	0.086671690526974
121.14588905386	0.087235740479538
121.37319903198	0.087764628485661
121.60050901011	0.088258124433031
121.82781898823	0.088716055222434
122.05512896635	0.089138233111623
122.28243894447	0.089524495146263
122.50974892259	0.089874790383828
122.73705890071	0.090189195250418
122.96436887884	0.090467843417405
123.19167885696	0.090710873936414
123.41898883508	0.090918466851238
123.64629881320	0.091090906673277
123.87360879132	0.091228575604116
124.10091876944	0.091331882921688
124.32822874757	0.091401234695518
124.55553872569	0.091437093664850
124.78284870381	0.091440048189220
125.01015868193	0.091410788614502
125.23746866005	0.091350015654246
125.46477863817	0.091258401974218
125.69208861630	0.091136656916719
125.91939859442	0.090985596783845
126.14670857254	0.090806110659484
126.37401855066	0.090599059046222
126.60132852878	0.090365249765659
126.82863850690	0.090105541912483
127.05594848502	0.089820944842687
127.28325846315	0.089512558662424
127.51056844127	0.089181398274687
127.73787841939	0.088828308269087
127.96518839751	0.088454084278746
128.19249837563	0.088059665738072
128.41980835375	0.087646168012328
128.64711833188	0.087214713364560
128.87442831000	0.086766259901350
129.10173828812	0.086301622272471
129.32904826624	0.085821636189832
129.55635824436	0.085327250413873
129.78366822248	0.084819440851523
130.01097820061	0.084299073014942
130.23828817873	0.083766893056086
130.46559815685	0.083223642812605
130.69290813497	0.082670130248929
130.92021811309	0.082107157101121
